# galaxy 03 (sfh.dat #1)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  1.439933e-02
5.3310480302e-01  6.292047e-02
6.7008299599e-01  3.481423e-02
8.0706118896e-01  1.332458e-01
9.4403938194e-01  1.104827e-01
1.0810175749e+00  2.457197e-01
1.2179957679e+00  4.811896e-01
1.3549739609e+00  3.673507e-01
1.4919521538e+00  2.252189e-01
1.6289303468e+00  5.568093e-01
1.7659085398e+00  2.889588e-01
1.9028867327e+00  5.504250e-01
2.0398649257e+00  4.468320e-01
2.1768431187e+00  3.150651e-01
2.3138213117e+00  2.353331e-01
2.4507995046e+00  4.737763e-01
2.5877776976e+00  4.647319e-01
2.7247558906e+00  3.944177e-01
2.8617340835e+00  2.086266e-01
2.9987122765e+00  2.368768e-01
3.1356904695e+00  1.261133e-01
3.2726686625e+00  1.048079e-01
3.4096468554e+00  1.010412e-01
3.5466250484e+00  1.646601e-01
3.6836032414e+00  2.488030e-01
3.8205814344e+00  2.377384e-01
3.9575596273e+00  3.358516e-01
4.0945378203e+00  1.812701e-01
4.2315160133e+00  1.731493e-01
4.3684942062e+00  1.418906e-01
4.5054723992e+00  1.685419e-01
4.6424505922e+00  1.485034e-01
4.7794287852e+00  3.325762e-01
4.9164069781e+00  1.129849e-01
5.0533851711e+00  3.285256e-01
5.1903633641e+00  3.984539e-01
5.3273415570e+00  1.651440e-01
5.4643197500e+00  2.099779e-01
5.6012979430e+00  2.647783e-01
5.7382761360e+00  4.191874e-02
5.8752543289e+00  1.177981e-02
6.0122325219e+00  1.095128e-01
6.1492107149e+00  2.739312e-02
6.2861889079e+00  5.800012e-02
6.4231671008e+00  1.611229e-01
6.5601452938e+00  2.868012e-01
6.6971234868e+00  1.721860e-01
6.8341016797e+00  2.127471e-01
6.9710798727e+00  2.661079e-01
7.1080580657e+00  2.517051e-01
7.2450362587e+00  2.118212e-01
7.3820144516e+00  2.386885e-01
7.5189926446e+00  3.088568e-01
7.6559708376e+00  1.987861e-01
7.7929490306e+00  2.636195e-01
7.9299272235e+00  1.389462e-01
8.0669054165e+00  6.292179e-02
8.2038836095e+00  2.619466e-01
8.3408618024e+00  1.333727e-01
8.4778399954e+00  1.062854e-01
8.6148181884e+00  2.105373e-01
8.7517963814e+00  1.231649e-01
8.8887745743e+00  6.841269e-02
9.0257527673e+00  5.346774e-02
9.1627309603e+00  6.769781e-02
9.2997091532e+00  3.303828e-02
9.4366873462e+00  7.585421e-02
9.5736655392e+00  3.095900e-02
9.7106437322e+00  5.988218e-02
9.8476219251e+00  3.001164e-02
9.9846001181e+00  5.188542e-02
1.0121578311e+01  1.585938e-02
1.0258556504e+01  4.002195e-02
1.0395534697e+01  4.631718e-02
1.0532512890e+01  6.148314e-02
1.0669491083e+01  3.967261e-02
1.0806469276e+01  6.611915e-02
1.0943447469e+01  4.062718e-02
1.1080425662e+01  1.094496e-02
1.1217403855e+01  5.655235e-02
1.1354382048e+01  3.860538e-02
1.1491360241e+01  1.238786e-02
1.1628338434e+01  3.519674e-02
1.1765316627e+01  3.735933e-02
1.1902294820e+01  5.729289e-02
1.2039273013e+01  1.085501e-01
1.2176251206e+01  8.948329e-02
1.2313229399e+01  1.194376e-01
1.2450207592e+01  8.469276e-02
1.2587185785e+01  7.937191e-02
1.2724163978e+01  9.034647e-02
1.2861142171e+01  1.438680e-01
1.2998120363e+01  1.899978e-01
1.3135098556e+01  1.722059e-01
1.3272076749e+01  1.689450e-01
1.3409054942e+01  5.976077e-02
1.3546033135e+01  1.451818e-01
1.3683011328e+01  1.130534e+00
