# galaxy 02 (sfh_orig.dat #3)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  1.387293e-02
5.3310480302e-01  1.029803e-01
6.7008299599e-01  1.262091e-01
8.0706118896e-01  3.090448e-01
9.4403938194e-01  6.488958e-01
1.0810175749e+00  7.787994e-01
1.2179957679e+00  7.292677e-01
1.3549739609e+00  1.462994e+00
1.4919521538e+00  1.485602e+00
1.6289303468e+00  1.784605e+00
1.7659085398e+00  2.408636e+00
1.9028867327e+00  2.942389e+00
2.0398649257e+00  2.563512e+00
2.1768431187e+00  2.629548e+00
2.3138213117e+00  6.363895e+00
2.4507995046e+00  4.721024e+00
2.5877776976e+00  3.501442e+00
2.7247558906e+00  3.025623e+00
2.8617340835e+00  4.229688e+00
2.9987122765e+00  6.581134e+00
3.1356904695e+00  1.209514e+01
3.2726686625e+00  1.328043e+01
3.4096468554e+00  6.347726e+00
3.5466250484e+00  3.755819e+00
3.6836032414e+00  4.448206e+00
3.8205814344e+00  6.080478e+00
3.9575596273e+00  8.231702e+00
4.0945378203e+00  7.999978e+00
4.2315160133e+00  1.245367e+01
4.3684942062e+00  1.037660e+01
4.5054723992e+00  8.694193e+00
4.6424505922e+00  5.349993e+00
4.7794287852e+00  4.288779e+00
4.9164069781e+00  4.501318e+00
5.0533851711e+00  5.791251e+00
5.1903633641e+00  6.694832e+00
5.3273415570e+00  6.275187e+00
5.4643197500e+00  8.508818e+00
5.6012979430e+00  8.000704e+00
5.7382761360e+00  9.858370e+00
5.8752543289e+00  1.660175e+01
6.0122325219e+00  1.186067e+01
6.1492107149e+00  6.343199e+00
6.2861889079e+00  3.934470e+00
6.4231671008e+00  5.028749e+00
6.5601452938e+00  9.126742e+00
6.6971234868e+00  5.911895e+00
6.8341016797e+00  5.043167e+00
6.9710798727e+00  4.836888e+00
7.1080580657e+00  2.860113e+00
7.2450362587e+00  1.535340e+00
7.3820144516e+00  2.033497e+00
7.5189926446e+00  2.716723e+00
7.6559708376e+00  2.609898e+00
7.7929490306e+00  2.298122e+00
7.9299272235e+00  3.528373e+00
8.0669054165e+00  3.966100e+00
8.2038836095e+00  3.751421e+00
8.3408618024e+00  3.553566e+00
8.4778399954e+00  3.245154e+00
8.6148181884e+00  2.953329e+00
8.7517963814e+00  3.478529e+00
8.8887745743e+00  4.483825e+00
9.0257527673e+00  5.159676e+00
9.1627309603e+00  4.396621e+00
9.2997091532e+00  4.223567e+00
9.4366873462e+00  4.516515e-01
9.5736655392e+00  1.328253e-01
9.7106437322e+00  1.207406e-01
9.8476219251e+00  2.653473e-01
9.9846001181e+00  3.792787e-01
1.0121578311e+01  5.865023e-01
1.0258556504e+01  6.414996e-01
1.0395534697e+01  7.677084e-01
1.0532512890e+01  6.651091e-01
1.0669491083e+01  6.010134e-01
1.0806469276e+01  7.325558e-01
1.0943447469e+01  1.102503e+00
1.1080425662e+01  7.745530e-01
1.1217403855e+01  8.090050e-01
1.1354382048e+01  7.582004e-01
1.1491360241e+01  7.207923e-01
1.1628338434e+01  9.503684e-01
1.1765316627e+01  9.762776e-01
1.1902294820e+01  1.306103e+00
1.2039273013e+01  1.169398e+00
1.2176251206e+01  9.694017e-01
1.2313229399e+01  9.930814e-01
1.2450207592e+01  1.190339e+00
1.2587185785e+01  1.486937e+00
1.2724163978e+01  9.553222e-01
1.2861142171e+01  8.095939e-01
1.2998120363e+01  1.034164e+00
1.3135098556e+01  8.204683e-01
1.3272076749e+01  7.114690e-01
1.3409054942e+01  8.643770e-01
1.3546033135e+01  7.531308e-01
1.3683011328e+01  8.467544e-01
