# galaxy 05 (sfh.dat #3)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  9.184416e-03
5.3310480302e-01  9.612569e-02
6.7008299599e-01  2.571938e-01
8.0706118896e-01  2.905218e-01
9.4403938194e-01  4.137256e-01
1.0810175749e+00  7.054895e-01
1.2179957679e+00  1.123799e+00
1.3549739609e+00  1.244171e+00
1.4919521538e+00  1.681158e+00
1.6289303468e+00  2.486301e+00
1.7659085398e+00  2.516450e+00
1.9028867327e+00  1.799890e+00
2.0398649257e+00  2.247262e+00
2.1768431187e+00  2.448121e+00
2.3138213117e+00  3.678631e+00
2.4507995046e+00  3.220753e+00
2.5877776976e+00  4.067373e+00
2.7247558906e+00  5.824909e+00
2.8617340835e+00  5.206106e+00
2.9987122765e+00  4.717399e+00
3.1356904695e+00  4.046499e+00
3.2726686625e+00  6.214756e+00
3.4096468554e+00  6.330226e+00
3.5466250484e+00  5.296639e+00
3.6836032414e+00  6.447973e+00
3.8205814344e+00  7.199224e+00
3.9575596273e+00  6.665520e+00
4.0945378203e+00  6.534959e+00
4.2315160133e+00  8.479829e+00
4.3684942062e+00  9.136448e+00
4.5054723992e+00  7.893286e+00
4.6424505922e+00  7.002707e+00
4.7794287852e+00  6.848517e+00
4.9164069781e+00  8.121364e+00
5.0533851711e+00  1.086830e+01
5.1903633641e+00  8.965204e+00
5.3273415570e+00  8.525614e+00
5.4643197500e+00  8.503808e+00
5.6012979430e+00  7.912044e+00
5.7382761360e+00  7.754222e+00
5.8752543289e+00  8.616925e+00
6.0122325219e+00  9.151916e+00
6.1492107149e+00  8.759873e+00
6.2861889079e+00  8.293445e+00
6.4231671008e+00  7.457747e+00
6.5601452938e+00  8.573365e+00
6.6971234868e+00  1.109528e+01
6.8341016797e+00  1.186668e+01
6.9710798727e+00  9.806749e+00
7.1080580657e+00  8.977859e+00
7.2450362587e+00  7.529801e+00
7.3820144516e+00  8.661768e+00
7.5189926446e+00  9.354634e+00
7.6559708376e+00  9.914903e+00
7.7929490306e+00  1.305826e+01
7.9299272235e+00  1.433392e+01
8.0669054165e+00  1.239584e+01
8.2038836095e+00  1.511320e+01
8.3408618024e+00  1.531715e+01
8.4778399954e+00  1.415736e+01
8.6148181884e+00  1.165565e+01
8.7517963814e+00  1.116519e+01
8.8887745743e+00  1.216820e+01
9.0257527673e+00  1.502163e+01
9.1627309603e+00  1.286074e+01
9.2997091532e+00  9.046950e+00
9.4366873462e+00  7.278647e+00
9.5736655392e+00  8.113299e+00
9.7106437322e+00  1.398964e+01
9.8476219251e+00  1.641898e+01
9.9846001181e+00  2.004108e+01
1.0121578311e+01  1.492782e+01
1.0258556504e+01  1.533926e+01
1.0395534697e+01  1.691810e+01
1.0532512890e+01  2.238638e+01
1.0669491083e+01  1.649435e+01
1.0806469276e+01  1.387990e+01
1.0943447469e+01  1.111665e+01
1.1080425662e+01  1.290398e+01
1.1217403855e+01  1.789107e+01
1.1354382048e+01  2.223441e+01
1.1491360241e+01  2.222487e+01
1.1628338434e+01  2.799912e+01
1.1765316627e+01  2.477260e+01
1.1902294820e+01  1.847769e+01
1.2039273013e+01  2.161171e+01
1.2176251206e+01  2.067546e+01
1.2313229399e+01  2.618658e+01
1.2450207592e+01  2.388984e+01
1.2587185785e+01  1.228332e+01
1.2724163978e+01  1.162790e+01
1.2861142171e+01  1.264779e+01
1.2998120363e+01  1.653371e+01
1.3135098556e+01  1.555882e+01
1.3272076749e+01  1.445764e+01
1.3409054942e+01  1.515270e+01
1.3546033135e+01  1.770614e+01
1.3683011328e+01  1.755120e+01
