# galaxy 01 (sfh_orig.dat #2)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  0.000000e+00
5.3310480302e-01  1.200183e-02
6.7008299599e-01  0.000000e+00
8.0706118896e-01  2.346134e-02
9.4403938194e-01  5.903516e-02
1.0810175749e+00  5.750203e-02
1.2179957679e+00  1.552315e-01
1.3549739609e+00  1.089097e-01
1.4919521538e+00  1.180418e-01
1.6289303468e+00  2.092538e-01
1.7659085398e+00  5.354952e-01
1.9028867327e+00  2.953916e-01
2.0398649257e+00  1.944369e-01
2.1768431187e+00  5.049441e-01
2.3138213117e+00  4.101255e-01
2.4507995046e+00  2.515809e-01
2.5877776976e+00  3.439115e-01
2.7247558906e+00  3.915668e-01
2.8617340835e+00  2.760074e-01
2.9987122765e+00  3.749952e-01
3.1356904695e+00  3.874763e-01
3.2726686625e+00  5.234101e-01
3.4096468554e+00  4.258758e-01
3.5466250484e+00  3.616641e-01
3.6836032414e+00  3.034892e-01
3.8205814344e+00  2.164589e-01
3.9575596273e+00  1.269815e-01
4.0945378203e+00  4.140915e-01
4.2315160133e+00  4.289296e-01
4.3684942062e+00  4.456014e-01
4.5054723992e+00  3.464193e-01
4.6424505922e+00  3.599309e-01
4.7794287852e+00  3.514119e-01
4.9164069781e+00  6.198212e-01
5.0533851711e+00  3.302097e-01
5.1903633641e+00  3.753661e-01
5.3273415570e+00  6.142512e-01
5.4643197500e+00  3.092135e-01
5.6012979430e+00  3.047509e-01
5.7382761360e+00  3.634919e-01
5.8752543289e+00  3.736279e-01
6.0122325219e+00  3.170997e-01
6.1492107149e+00  3.221766e-01
6.2861889079e+00  3.011264e-01
6.4231671008e+00  4.936930e-01
6.5601452938e+00  2.907607e-01
6.6971234868e+00  5.150684e-01
6.8341016797e+00  4.575809e-01
6.9710798727e+00  3.747816e-01
7.1080580657e+00  3.519843e-01
7.2450362587e+00  5.449972e-01
7.3820144516e+00  4.718912e-01
7.5189926446e+00  4.882683e-01
7.6559708376e+00  3.515486e-01
7.7929490306e+00  6.020319e-01
7.9299272235e+00  4.194497e-01
8.0669054165e+00  2.671747e-01
8.2038836095e+00  6.705336e-02
8.3408618024e+00  8.758456e-02
8.4778399954e+00  4.949166e-02
8.6148181884e+00  7.310560e-02
8.7517963814e+00  9.948537e-02
8.8887745743e+00  2.251135e-02
9.0257527673e+00  8.450068e-02
9.1627309603e+00  1.047997e-01
9.2997091532e+00  4.610417e-02
9.4366873462e+00  2.399704e-02
9.5736655392e+00  6.691018e-02
9.7106437322e+00  7.661472e-02
9.8476219251e+00  2.348237e-02
9.9846001181e+00  7.155082e-02
1.0121578311e+01  5.732175e-02
1.0258556504e+01  9.076419e-02
1.0395534697e+01  4.823174e-02
1.0532512890e+01  4.219180e-02
1.0669491083e+01  3.324635e-02
1.0806469276e+01  9.339785e-03
1.0943447469e+01  2.560735e-02
1.1080425662e+01  5.244528e-02
1.1217403855e+01  9.167101e-03
1.1354382048e+01  0.000000e+00
1.1491360241e+01  0.000000e+00
1.1628338434e+01  2.466911e-02
1.1765316627e+01  2.550785e-02
1.1902294820e+01  1.198316e-02
1.2039273013e+01  0.000000e+00
1.2176251206e+01  3.554882e-02
1.2313229399e+01  0.000000e+00
1.2450207592e+01  2.898609e-02
1.2587185785e+01  3.826313e-02
1.2724163978e+01  0.000000e+00
1.2861142171e+01  2.507405e-02
1.2998120363e+01  1.179877e-02
1.3135098556e+01  1.461416e-02
1.3272076749e+01  0.000000e+00
1.3409054942e+01  0.000000e+00
1.3546033135e+01  2.420659e-02
1.3683011328e+01  0.000000e+00
